Project No,Total A1-A5w,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Storeys,Grid_X,Grid_Y,Bays_X,"Typology_CLT, Glulam and Steel Column Hybrid",Typology_Composite Cell Beams with Metal Decking,Typology_Composite Rolled Steel with Metal Decking,Typology_Non-Composite Rolled Steel with PCC Planks,Typology_One-Way Spanning RC,Typology_PT RC Flat Slab,Typology_Precast Hollowcore with In-situ RC Beams,Typology_RC Flat Slab,Typology_RC Rib Slab,Typology_Steel Frame with CLT Slabs,Typology_Two-way RC Slab,Building Use_Education,Building Use_Healthcare,Building Use_Office,Building Use_Residential,Has Basement_No,Has Basement_Yes,Has Transfer Deck_No,Has Transfer Deck_Yes
84,27209.25962711341,69777394.9416,111132.0,98306953.53004377,488.4417645911945,249.23245682345865,18,9,9,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
85,30252.53365294241,82182040.3885,111132.0,103401407.41522025,575.2742827195568,277.3981205742897,18,9,9,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
86,24361.881284274383,75392709.5199,111132.0,75434653.20497331,527.7489666392158,223.96456691964156,18,9,9,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
87,21249.75119812075,73304909.8573,111132.0,79914174.70548178,513.1343690009919,195.82915422310177,18,9,9,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
88,3974.46032370654,7507348.7057,15876.0,44132860.13014188,52.55144093972667,253.6540542105232,5,6,6,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
89,3709.109611811977,7949982.8259,15876.0,43120267.12876977,55.64987978164652,237.13526654028877,5,6,6,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
90,3651.921948548043,7875330.688,15876.0,42661454.10437208,55.12731481577573,233.50020555327657,5,6,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
91,3600.2693818886314,6777568.2671,15876.0,41954136.54299109,47.44297786999872,229.76268328033697,5,6,6,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
92,3688.897413238411,7308921.9182,15876.0,42818719.16847555,51.162453427217855,235.5794826571951,5,6,6,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
93,4147.339658809575,8131642.9959,15876.0,45561459.70839493,56.92150097110621,264.81866715675744,5,6,6,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
94,3656.322920012157,8771280.9245,15876.0,41741490.51023131,61.3989664714086,234.17245442703236,5,6,6,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
95,3966.264843960029,8942952.2638,15876.0,40992647.34749358,62.60066584685561,253.7708182040113,5,6,6,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
96,4116.379264452222,9662694.3348,15876.0,41041186.384342,67.63886034371036,263.5435956661585,5,6,6,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
97,3330.200910227716,9200233.8131,15876.0,38052687.7936118,64.40163669142227,213.8197623405857,5,6,6,9.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
98,3281.995291613161,9041871.3819,15876.0,38194281.26666314,63.29309967302184,210.713554502783,5,6,6,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
99,18167.73921812562,28716672.6122,52992.0,118318505.74971758,201.01670828559887,346.6326224035933,22,8,8,3.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
100,15985.672849940733,30679918.5813,52992.0,108384463.53926297,214.7594300693442,305.71467919705003,22,8,8,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
101,17072.856197275025,30954551.9086,52992.0,112197891.35160984,216.6818633605473,326.26694709834635,22,8,8,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
102,16429.72451125019,26873904.2562,52992.0,106734126.57237622,188.1173297935312,313.59152024916443,22,8,8,3.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
103,18015.05022713271,29522956.5522,52992.0,118082120.92017569,206.66069586567923,343.8577695312196,22,8,8,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
104,16797.401701040824,28538566.772,52992.0,112963895.82072432,199.7699674040334,320.74976729402283,22,8,8,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
105,16731.529262274198,40069043.8184,52992.0,97055408.66123846,280.4833067290629,321.0298265587874,22,8,8,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
106,17345.115673554545,39839887.9287,52992.0,91032799.90798914,278.87921550092307,332.5784059679851,22,8,8,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
107,17930.94281413896,43885144.332,52992.0,88867136.71855816,307.196010323916,344.16777672974933,22,8,8,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
